0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13988844 0.14081994 0.14502019 0.15114781 0.1619354 0.2503504 0.36993885 0.53094566 0.69063103 0.90671384 1.0097051 1.0041318 0.9353136 0.9774002 0.84864104 0.7631092 0.7187643 0.6833587 0.6431141 0.6367606 0.5685262 0.5502613 0.5926299 0.4896153 0.4757538 0.4323307 0.3693933 0.26577103 0.1787026 0.15136197 0.14368886 0.14055002 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14024305 0.14404273 0.14995468 0.15696888 0.2017684 0.36678243 0.6009619 0.7960566 0.9881197 1.1037917 1.0993118 1.0214787 0.9621325 0.93617654 0.8193561 0.72690725 0.6547456 0.61844385 0.62622833 0.58177704 0.51363784 0.5376373 0.5087043 0.50286204 0.45711827 0.4195525 0.38289434 0.35786977 0.22047126 0.16089578 0.14810885 0.14221266 0.14003362 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14154261 0.14755896 0.1542233 0.16801625 0.31058782 0.5161417 0.9228944 1.1019261 1.2362604 1.2559316 1.1682662 0.9364536 0.84979475 0.84149414 0.7539209 0.66991985 0.5927914 0.53141046 0.52264553 0.5349512 0.5167607 0.48712528 0.47899392 0.47751367 0.49960458 0.45421338 0.4207877 0.37539393 0.24750015 0.17998055 0.1542469 0.14503998 0.1408028 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14024305 0.14481097 0.1531012 0.16195211 0.23787913 0.4285221 0.9046253 1.3330641 1.4025629 1.2688451 1.241255 1.0119529 0.8792074 0.7638652 0.70867264 0.61343706 0.5273588 0.45643067 0.39607623 0.3903103 0.41994762 0.44855404 0.41559637 0.41999558 0.4471653 0.47066477 0.46308634 0.4155619 0.4195028 0.36106604 0.2414867 0.1655466 0.15018536 0.14313492 0.14002292 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14206977 0.14964908 0.16091762 0.18825983 0.32043976 0.73518944 1.3238863 1.7247972 1.5307775 1.2662512 1.0358233 0.85045403 0.7105782 0.6014458 0.48425242 0.46417737 0.37941808 0.3484083 0.31189924 0.2776048 0.28650853 0.3368803 0.3503036 0.3648525 0.36369544 0.38682312 0.43477136 0.40060663 0.42205653 0.38981265 0.31548986 0.19665936 0.1566337 0.14611864 0.14072186 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14030609 0.14594896 0.15896451 0.1932432 0.2571565 0.5225333 1.2744291 1.9146898 1.8404049 1.431277 1.0647933 0.8698598 0.7267285 0.5663842 0.48177558 0.40315592 0.3561869 0.3015257 0.24724646 0.23029043 0.22046025 0.25421435 0.28742447 0.30946344 0.31480372 0.32023305 0.36073384 0.3879254 0.35955393 0.38427103 0.34277967 0.32749498 0.2528243 0.16498509 0.15035923 0.1427466 0.13997251 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14253916 0.1522533 0.20856622 0.23413116 0.3520192 0.9641949 1.957794 2.0819473 1.6876354 1.1659949 0.8633864 0.71154577 0.5409142 0.4271184 0.37510043 0.35141927 0.31785458 0.2616645 0.24138351 0.21937764 0.21151385 0.22220951 0.23253101 0.27919683 0.26217556 0.29477578 0.32602978 0.34023196 0.34373426 0.34773558 0.28036174 0.27986604 0.2483842 0.1759268 0.1538369 0.14480782 0.14024656 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13997251 0.14640325 0.17222169 0.32912388 0.32423407 0.5717984 1.8807824 2.455815 2.0297465 1.3286228 0.86267316 0.70446455 0.5199529 0.43743584 0.3624761 0.29753676 0.3045255 0.277893 0.2625563 0.25746894 0.2397649 0.23246467 0.22840801 0.23029664 0.24672751 0.25567386 0.26348484 0.26463723 0.28920403 0.29284942 0.2695697 0.25978583 0.2299754 0.21521059 0.1775204 0.1550666 0.14731789 0.14103779 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14059885 0.15427276 0.65561545 0.6610748 0.5031327 1.2266695 2.5336492 2.5709538 1.7060218 0.91682494 0.72279525 0.535741 0.45055765 0.37110355 0.32799736 0.29906306 0.3139 0.3337388 0.3505888 0.33170003 0.3255766 0.2805063 0.25941807 0.26761848 0.27362698 0.26221684 0.26467556 0.24872087 0.24033177 0.24700214 0.21984287 0.21262822 0.20956165 0.20835896 0.17535734 0.15702629 0.14835599 0.14281008 0.13995966 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14273468 0.22858503 1.4784491 1.0129385 0.90912175 2.1358376 2.7703595 2.3069363 1.0896592 0.75585425 0.57621074 0.43883783 0.37108058 0.33139277 0.27987334 0.30862415 0.35512716 0.45479992 0.41433614 0.44527876 0.4982786 0.41190812 0.3610891 0.29697376 0.29567298 0.2595793 0.2781865 0.2520967 0.22671166 0.21517101 0.2051501 0.20743448 0.19951482 0.19300619 0.17926288 0.15993622 0.1492717 0.14398164 0.14019638 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
