Subject ID,feature value,Dataset
3536694,0.044056855,train
4227234,0.09457189,train
5639185,0.059258617,train
5278087,-0.07924657,train
3765300,0.05294215,train
4894934,-0.15068571,train
2943320,0.08569449,train
2554588,0.04396207,train
4088506,-0.114519134,train
4389585,0.01598084,train
4176268,-0.008795383,train
5750704,0.054551844,train
2509989,-0.0040442036,train
3234884,0.006311045,train
4094624,0.1314512,train
2789163,0.09326474,train
3095634,0.04984814,train
5430302,0.06505109,train
3604714,0.15568893,train
2601473,-0.03921715,train
5193417,-0.04307623,train
4753479,-0.13466045,train
3597691,0.013201541,train
5342567,-0.07154387,train
4592376,-0.1515587,train
5603326,-0.01009408,train
1821725,0.1250521,train
3229638,0.012109644,train
5530980,-0.09395319,train
3314473,0.11599494,train
2644409,-0.11440699,train
4214584,-0.12027397,train
1410923,0.11919538,train
1344287,0.043844704,train
1491500,0.07419323,train
4566908,0.10860233,train
2210522,0.12278732,train
4786382,0.06735363,train
4333184,-0.1515587,train
1930336,-0.036338788,train
5437683,0.098340735,train
2218236,0.045876134,train
4066839,0.15137264,train
4543100,0.049301334,train
2283290,-0.042291164,train
3527464,0.1085004,train
2953420,0.09693939,train
3546874,-0.08355049,train
5314172,0.01561765,train
4523069,0.10371964,train
3153378,0.11755042,train
2078449,-0.09345602,train
1749872,0.14163473,train
1691653,-0.13608104,train
1437458,-0.027982848,train
4671428,-0.088061415,train
5339919,-0.016535532,train
2601464,0.13379502,train
2819944,0.013044617,train
3245758,0.092077404,train
1902578,0.078792445,train
3143696,0.12208216,train
5116727,-0.15040013,train
1380081,-0.111490056,train
2803136,0.028867362,train
2033895,0.15480168,train
4724001,-0.013356,train
2581842,-0.1515587,train
5770382,-0.0050096265,train
4755126,0.055429738,train
3460127,0.055137724,train
1511727,0.12338934,train
2888975,0.076691374,train
1346466,0.03789886,train
4212238,0.09011003,train
2682025,0.100061364,train
3761090,-0.05215366,train
2532491,-0.14391524,train
5770102,-0.1515587,train
1901315,-0.02237898,train
1599019,0.12067922,train
4885438,-0.077200115,train
