Subject ID,feature value,Dataset
2101602,-0.0014484926,train
5563856,0.2437587,train
4334989,-0.0880712,train
2230093,0.09915229,train
1966223,0.1964674,train
4606851,0.065089256,train
2922368,0.007200859,train
1579824,-0.074199334,train
5770382,-0.011359163,train
3207145,0.18989272,train
4566845,0.2395529,train
5110893,-0.0320125,train
4862914,0.047232043,train
3550247,0.041812997,train
4835779,0.13918738,train
4684836,-0.027786547,train
2909080,0.015069458,train
2211599,-0.091811806,train
2706068,0.17522644,train
5390033,0.17925616,train
3385218,0.07077913,train
2395497,-0.112448014,train
4809991,0.096350044,train
5214458,-0.17285119,train
4246423,0.20042272,train
5398595,0.21531491,train
1655554,-0.027013918,train
3393824,0.015081246,train
5417751,0.27548718,train
1758288,-0.13261229,train
5434806,0.25542992,train
1448576,0.037701845,train
4180787,0.13850518,train
1190486,0.107585885,train
5581637,-0.06265738,train
3706202,-0.08729717,train
3850841,-0.27275893,train
2240128,0.15923642,train
3312261,-0.073686205,train
4135696,0.23785375,train
4924061,0.080430925,train
5355448,0.12476192,train
2034943,0.20696604,train
2705818,0.06792173,train
5848671,-0.1017713,train
4565530,-0.097972654,train
4722166,0.041737545,train
5048675,0.03457954,train
5126377,-0.19446705,train
1504860,-0.23856133,train
2536873,0.15549426,train
5197729,0.15998164,train
4791268,0.078356534,train
4493383,-0.033300407,train
2035063,-0.272841,train
2101706,0.14837451,train
3650636,-0.061839927,train
3509955,0.15255746,train
1814222,0.14054005,train
2125163,-0.21377392,train
3842824,-0.27264854,train
4903143,0.03497351,train
4954199,0.19243486,train
1565293,0.14660026,train
3319885,0.19872804,train
5105714,-0.14317226,train
2483614,0.11081455,train
1237755,0.23196249,train
4687507,-0.036483835,train
4064841,-0.058589876,train
2057986,0.03127565,train
4963914,-0.26121002,train
2834107,0.1384666,train
1463022,-0.2728979,train
1025032,-0.07818315,train
1287024,0.23231725,train
4352009,0.16676588,train
1560602,0.16284724,train
2537406,0.27658308,train
3881048,0.24494737,train
2689894,0.09582246,train
2026234,0.25733495,train
2373069,-0.25975016,train
1894041,0.17314553,train
5426599,-0.069631666,train
5274386,0.18562083,train
2381505,-0.017089473,train
3548622,0.17482246,train
2468651,0.14617768,train
4725267,0.081557505,train
5806387,-0.06275916,train
5305393,-0.13336433,train
5745964,0.15514684,train
2080705,0.13058656,train
2663203,0.00826386,train
4805235,0.077707216,train
1470363,-0.2718782,train
2055400,-0.2728979,train
2100599,0.12714298,train
3298193,0.19666474,train
4804797,0.2096901,train
5020473,-0.07418703,train
4024902,0.21263815,train
3464051,0.10885725,train
4906926,-0.04104642,train
1143268,-0.27129638,train
2158462,0.15809524,train
3318105,-0.031008601,train
4636078,0.21461147,train
1311265,-0.2728979,train
4910568,0.22553295,train
2160352,0.26977757,train
2789163,0.17155421,train
1456455,-0.16191806,train
5265958,0.0837974,train
5425589,0.07799532,train
1428748,-0.09376979,train
1357292,0.24177201,train
3470383,0.15850215,train
4731073,-0.0368053,train
