Subject ID,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,Dataset
3766960,0.15547574,0.3686265,0.33038685,0.66832453,0.24233165,0.20158972,0.18712449,0.2131504,0.6644665,1.6557548,0.9886183,0.43597072,0.3751423,0.20970829,0.29968944,1.0108837,1.9658759,1.1090542,0.54627055,0.52221817,0.2532066,0.3368552,1.0305436,0.8714391,0.7526078,0.36967948,0.37514633,0.20305952,0.40859374,0.5891324,0.68685627,0.4910597,0.13633439,0.1701912,0.18919492,0.17829514,0.29273397,0.26048264,0.24243958,0.11445673,0.14267853,0.18737677,0.112728365,0.13048707,0.14385176,0.122137114,0.13509294,0.12724383,0.16285934,train
5734766,0.14341705,0.37303096,0.4532779,0.3880773,0.50098944,0.26847413,0.18760142,0.39851707,1.0486051,1.6617137,1.7447727,0.8740305,0.4137575,0.19194858,0.26476485,1.5840553,2.8741698,1.919969,1.0614474,0.71153456,0.21690938,0.37767226,1.5832651,1.8792381,1.1150944,0.8966127,0.7770381,0.231529,0.4318544,0.9849548,1.0674545,0.9591029,0.5043457,0.44917458,0.26109114,0.22546384,0.50371027,1.0505892,1.4384499,1.2170684,0.71275336,0.34973416,0.11742079,0.24149333,0.6317659,0.9688559,1.0371181,0.47214323,0.2369622,train
4419150,0.14708151,0.5864963,0.744455,0.7894084,0.44718528,0.19753829,0.19083713,0.2804402,1.1160358,3.1392245,2.4494214,1.0474867,0.32155624,0.18807614,0.36875084,1.5470852,2.2874467,1.5758164,0.75633377,0.3568627,0.19528894,0.40722752,0.7645608,0.74025136,0.48021367,0.14006595,0.20021805,0.21657889,0.43752828,0.570734,0.8583207,0.3102623,0.09325936,0.10567318,0.25345343,0.26617685,0.46459535,0.6561894,0.62408406,0.29929087,0.1547294,0.23016356,0.13135765,0.26841584,0.26424897,0.29690295,0.16669238,0.16699946,0.16319954,train
2424256,0.14343145,0.8038702,0.93430704,1.1415749,0.5886974,0.32065684,0.21162908,0.19341803,0.71568424,2.126262,1.9669908,1.1610323,0.45488617,0.21317771,0.26044068,0.71905506,0.9017803,0.75848275,0.6121351,0.5088329,0.28678837,0.29460046,0.41114777,0.32828066,0.2040572,0.12188804,0.1407602,0.266293,0.4180502,0.495203,0.31922367,0.23403624,0.09024314,0.2009583,0.22470608,0.14640598,0.17933914,0.28322878,0.16633002,0.16706716,0.12890239,0.18835142,0.112728365,0.11530967,0.18027663,0.070193425,0.065819636,0.117990956,0.16279396,train
5178350,0.14348283,0.22336236,0.12643024,0.3534491,0.15446623,0.19595659,0.2058039,0.12168992,0.21507354,0.6911031,0.7758935,0.33158156,0.259438,0.22762664,0.45825,0.47651225,1.1648415,0.9331686,0.27388245,0.3930088,0.26572394,0.5449132,1.0367045,0.97157234,0.6199121,0.25359952,0.15837228,0.21808948,0.6499532,0.65055805,0.86375904,0.59143746,0.36346653,0.20010664,0.19716911,0.25843814,0.37481636,0.28419048,0.23692992,0.33824363,0.24349996,0.1908097,0.12468592,0.14533663,0.0638474,0.13997477,0.12218761,0.1474731,0.16286036,train
4061045,0.1566129,0.34679177,0.23301008,0.33540264,0.18654847,0.17597894,0.18816125,0.11500196,0.56957614,1.3748196,1.7278134,0.6160375,0.3557431,0.2284237,0.16208045,0.6066094,1.8322583,1.3042177,0.6257068,0.77070904,0.3394981,0.2637202,0.95827526,1.0610586,0.84003574,0.844444,0.63532025,0.346802,0.4156449,0.798747,0.7636355,0.4896023,0.37656254,0.25919414,0.20113532,0.22666307,0.42154786,0.5428074,0.3281605,0.09186886,0.22329381,0.22183882,0.11281854,0.18453698,0.13106352,0.31362724,0.13025357,0.13546267,0.16282456,train
4858678,0.14333037,0.2051011,0.31094462,0.3656218,0.4085429,0.40794238,0.20953158,0.14756812,0.38355237,1.2367656,1.3250343,0.95603055,0.5384381,0.2787154,0.22521298,0.5690476,1.2114027,0.72791046,0.51257646,0.3654883,0.30468747,0.26759964,0.4799649,0.5905444,0.52499855,0.59659153,0.44994062,0.19720387,0.3076952,0.33909076,0.85168254,0.8520942,0.8142707,0.64196485,0.2244713,0.2322903,0.3846915,0.60331553,0.849374,0.8099526,0.47311148,0.2789459,0.14847682,0.18287167,0.299009,0.5473599,0.29194418,0.18520723,0.16289677,train
1606426,0.2099743,0.5207954,0.8436423,0.7861764,0.7107689,0.26402527,0.20887847,0.47711223,1.0962318,2.7454643,2.3829303,1.7292973,0.641224,0.20293167,0.4869224,1.9539257,2.5268004,1.4587338,0.8281217,0.53879845,0.24636571,0.5070179,0.7612358,1.1101501,0.5361147,0.4775336,0.26388726,0.25416368,0.42835423,0.46765605,0.73070174,0.5196431,0.60054404,0.57942516,0.2997644,0.22478344,0.1846501,0.6088872,1.3167402,0.8523148,0.6760082,0.373089,0.11240031,0.26173928,0.79025096,0.9915694,0.6862764,0.31886944,0.22492091,train
2007318,0.14343145,0.1260633,0.1260633,0.1260633,0.1260633,0.14066829,0.18675062,0.1192106,0.12699807,0.12699807,0.12699807,0.12699807,0.1485091,0.18737677,0.1192106,0.12699807,0.12699807,0.12699807,0.12699807,0.15531595,0.18737677,0.1192106,0.12699807,0.12699807,0.12699807,0.12699807,0.15531595,0.18737677,0.1192106,0.12699807,0.12699807,0.12699807,0.12699807,0.15531595,0.18737677,0.1192106,0.12699807,0.12699807,0.12699807,0.12699807,0.14679861,0.18737677,0.112728365,0.111218385,0.111218385,0.111218385,0.111218385,0.111218385,0.16285934,train
2315626,0.14234504,0.409238,0.35577255,0.75168735,0.2256895,0.32277864,0.19501556,0.11345029,0.634052,1.7520777,1.925946,0.57726,0.18371285,0.21429792,0.12724575,0.7471793,1.2816818,1.4627869,0.4163317,0.21398959,0.2544834,0.1825886,0.6874989,0.70303166,0.7119238,0.11666261,0.156265,0.2377718,0.27485654,0.43900067,0.32664078,0.29640943,0.17736861,0.19319595,0.20321827,0.15125561,0.3826763,0.56315076,0.54950655,0.37596968,0.2077736,0.1872573,0.112728365,0.1976842,0.34504947,0.30725998,0.2623096,0.15897498,0.16285737,train
